HGNC_Symbol,Log2FC,P_Value,DataSet,drug
MAPK8,-0.03,0.59092,HAL Low Colantuoni (4031),Haloperidol
MAPK10,-0.03,0.59092,HAL Low Colantuoni (4031),Haloperidol
MAPK6,-0.03,0.56497,HAL Low Colantuoni (4031),Haloperidol
MAPK4,0.27,0.11982,HAL Low Colantuoni (4031),Haloperidol
MAPK3,-0.03,0.84053,HAL Low Colantuoni (4031),Haloperidol
MAPK15,0.05,0.7754,HAL Low Colantuoni (4031),Haloperidol
MAPK14,0,0.96088,HAL Low Colantuoni (4031),Haloperidol
MAPK13,0.47,0.32615,HAL Low Colantuoni (4031),Haloperidol
MAPK12,-0.36,0.06542,HAL Low Colantuoni (4031),Haloperidol
MAPK11,0.07,0.48909,HAL Low Colantuoni (4031),Haloperidol
MAPK1,-0.1,0.16338,HAL Low Colantuoni (4031),Haloperidol
MAPK7,0.32,0.46876,HAL Low Colantuoni (4031),Haloperidol
MAPK9,0.07,0.392,HAL_2h_25uM_glia (89873),Haloperidol
MAPK8,0.16,0.189,HAL_2h_25uM_glia (89873),Haloperidol
MAPK6,0.16,0.182,HAL_2h_25uM_glia (89873),Haloperidol
MAPK4,0,0.998,HAL_2h_25uM_glia (89873),Haloperidol
MAPK3,0.07,0.442,HAL_2h_25uM_glia (89873),Haloperidol
MAPK15,0.08,0.435,HAL_2h_25uM_glia (89873),Haloperidol
MAPK14,0.25,0.00875,HAL_2h_25uM_glia (89873),Haloperidol
MAPK13,-0.07,0.384,HAL_2h_25uM_glia (89873),Haloperidol
MAPK12,0.13,0.165,HAL_2h_25uM_glia (89873),Haloperidol
MAPK10,0.04,0.653,HAL_2h_25uM_glia (89873),Haloperidol
MAPK1,0.1,0.222,HAL_2h_25uM_glia (89873),Haloperidol
MAPK9,0.23,0.0857,QUE_1uM_4d GSE125325,Quetiapine
MAPK8,-0.31,0.0872,QUE_1uM_4d GSE125325,Quetiapine
MAPK10,-0.31,0.0872,QUE_1uM_4d GSE125325,Quetiapine
MAPK6,0.41,0.0104,QUE_1uM_4d GSE125325,Quetiapine
MAPK4,-0.69,0.0261,QUE_1uM_4d GSE125325,Quetiapine
MAPK3,0.62,3.2e-4,QUE_1uM_4d GSE125325,Quetiapine
MAPK15,0.2,0.0878,QUE_1uM_4d GSE125325,Quetiapine
MAPK14,-0.08,0.443,QUE_1uM_4d GSE125325,Quetiapine
MAPK13,0.04,0.68,QUE_1uM_4d GSE125325,Quetiapine
MAPK12,-0.58,0.0187,QUE_1uM_4d GSE125325,Quetiapine
MAPK11,-0.39,0.0268,QUE_1uM_4d GSE125325,Quetiapine
MAPK1,-0.21,0.0655,QUE_1uM_4d GSE125325,Quetiapine
MAPK7,0,0.991,QUE_1uM_4d GSE125325,Quetiapine
MAPK9,0.14,0.49291,QUE-1uM_2d GSE125325,Quetiapine
MAPK8,-0.24,0.1407,QUE-1uM_2d GSE125325,Quetiapine
MAPK10,-0.24,0.1407,QUE-1uM_2d GSE125325,Quetiapine
MAPK6,0.34,0.03237,QUE-1uM_2d GSE125325,Quetiapine
MAPK4,0.16,0.11971,QUE-1uM_2d GSE125325,Quetiapine
MAPK3,0.3,0.0692,QUE-1uM_2d GSE125325,Quetiapine
MAPK15,0.26,0.06217,QUE-1uM_2d GSE125325,Quetiapine
MAPK14,0.17,0.21523,QUE-1uM_2d GSE125325,Quetiapine
MAPK13,0.02,0.83877,QUE-1uM_2d GSE125325,Quetiapine
MAPK12,-0.16,0.52049,QUE-1uM_2d GSE125325,Quetiapine
MAPK11,-0.19,0.05104,QUE-1uM_2d GSE125325,Quetiapine
MAPK1,-0.07,0.44884,QUE-1uM_2d GSE125325,Quetiapine
MAPK7,0.12,0.25557,QUE-1uM_2d GSE125325,Quetiapine
MAPK9,0,0.95443,HAL_0.25mgkg_HIP_GSE66275,Haloperidol
MAPK8,-0.11,0.29661,HAL_0.25mgkg_HIP_GSE66275,Haloperidol
MAPK10,-0.11,0.29661,HAL_0.25mgkg_HIP_GSE66275,Haloperidol
MAPK6,0.05,0.45371,HAL_0.25mgkg_HIP_GSE66275,Haloperidol
MAPK4,0.1,0.04662,HAL_0.25mgkg_HIP_GSE66275,Haloperidol
MAPK3,0.04,0.5004,HAL_0.25mgkg_HIP_GSE66275,Haloperidol
MAPK15,0.04,0.67086,HAL_0.25mgkg_HIP_GSE66275,Haloperidol
MAPK14,-0.08,0.25416,HAL_0.25mgkg_HIP_GSE66275,Haloperidol
MAPK13,-0.13,0.04286,HAL_0.25mgkg_HIP_GSE66275,Haloperidol
MAPK12,-0.14,0.20304,HAL_0.25mgkg_HIP_GSE66275,Haloperidol
MAPK11,0.05,0.66378,HAL_0.25mgkg_HIP_GSE66275,Haloperidol
MAPK1,-0.07,0.47144,HAL_0.25mgkg_HIP_GSE66275,Haloperidol
MAPK7,0.02,0.78108,HAL_0.25mgkg_HIP_GSE66275,Haloperidol
MAPK9,-0.12,0.09123,HAL_0.25mgkg_fCTX_GSE66275,Haloperidol
MAPK8,-0.14,0.0835,HAL_0.25mgkg_fCTX_GSE66275,Haloperidol
MAPK10,-0.14,0.0835,HAL_0.25mgkg_fCTX_GSE66275,Haloperidol
MAPK6,-0.02,0.69686,HAL_0.25mgkg_fCTX_GSE66275,Haloperidol
MAPK4,-0.15,0.0597,HAL_0.25mgkg_fCTX_GSE66275,Haloperidol
MAPK3,-0.01,0.87085,HAL_0.25mgkg_fCTX_GSE66275,Haloperidol
MAPK15,-0.08,0.336,HAL_0.25mgkg_fCTX_GSE66275,Haloperidol
MAPK14,-0.1,0.11906,HAL_0.25mgkg_fCTX_GSE66275,Haloperidol
MAPK13,0.03,0.76823,HAL_0.25mgkg_fCTX_GSE66275,Haloperidol
MAPK12,-0.1,0.37097,HAL_0.25mgkg_fCTX_GSE66275,Haloperidol
MAPK11,-0.2,0.08723,HAL_0.25mgkg_fCTX_GSE66275,Haloperidol
MAPK1,-0.1,0.10882,HAL_0.25mgkg_fCTX_GSE66275,Haloperidol
MAPK7,0.18,0.03372,HAL_0.25mgkg_fCTX_GSE66275,Haloperidol
MAPK9,-0.05,0.40005,HAL_0.25mgkg_STR_GSE66275,Haloperidol
MAPK8,-0.02,0.8203,HAL_0.25mgkg_STR_GSE66275,Haloperidol
MAPK10,-0.02,0.8203,HAL_0.25mgkg_STR_GSE66275,Haloperidol
MAPK6,0.09,0.24704,HAL_0.25mgkg_STR_GSE66275,Haloperidol
MAPK4,-0.03,0.75461,HAL_0.25mgkg_STR_GSE66275,Haloperidol
MAPK3,0.1,0.09072,HAL_0.25mgkg_STR_GSE66275,Haloperidol
MAPK15,-0.08,0.33126,HAL_0.25mgkg_STR_GSE66275,Haloperidol
MAPK14,-0.12,0.11958,HAL_0.25mgkg_STR_GSE66275,Haloperidol
MAPK13,0.03,0.66779,HAL_0.25mgkg_STR_GSE66275,Haloperidol
MAPK12,-0.09,0.30662,HAL_0.25mgkg_STR_GSE66275,Haloperidol
MAPK11,0.04,0.62649,HAL_0.25mgkg_STR_GSE66275,Haloperidol
MAPK1,-0.13,0.09828,HAL_0.25mgkg_STR_GSE66275,Haloperidol
MAPK7,0.1,0.20363,HAL_0.25mgkg_STR_GSE66275,Haloperidol
MAPK9,0.06,0.42561,RIS_5mgkg_21D_HIP_GSE66275,Risperidone
MAPK8,-0.09,0.34364,RIS_5mgkg_21D_HIP_GSE66275,Risperidone
MAPK10,-0.09,0.34364,RIS_5mgkg_21D_HIP_GSE66275,Risperidone
MAPK6,0.14,0.03414,RIS_5mgkg_21D_HIP_GSE66275,Risperidone
MAPK4,0.23,0.01119,RIS_5mgkg_21D_HIP_GSE66275,Risperidone
MAPK3,0.12,0.03013,RIS_5mgkg_21D_HIP_GSE66275,Risperidone
MAPK15,0.21,0.03631,RIS_5mgkg_21D_HIP_GSE66275,Risperidone
MAPK14,-0.13,0.11783,RIS_5mgkg_21D_HIP_GSE66275,Risperidone
MAPK13,-0.03,0.61964,RIS_5mgkg_21D_HIP_GSE66275,Risperidone
MAPK12,0.18,0.17552,RIS_5mgkg_21D_HIP_GSE66275,Risperidone
MAPK11,-0.03,0.85077,RIS_5mgkg_21D_HIP_GSE66275,Risperidone
MAPK1,-0.03,0.65472,RIS_5mgkg_21D_HIP_GSE66275,Risperidone
MAPK7,-0.01,0.91872,RIS_5mgkg_21D_HIP_GSE66275,Risperidone
MAPK9,0.05,0.514,RIS_5mgkg_21D_STr_GSE66275,Risperidone
MAPK8,0.1,0.426,RIS_5mgkg_21D_STr_GSE66275,Risperidone
MAPK10,0.1,0.426,RIS_5mgkg_21D_STr_GSE66275,Risperidone
MAPK6,0.06,0.557,RIS_5mgkg_21D_STr_GSE66275,Risperidone
MAPK4,-0.18,0.237,RIS_5mgkg_21D_STr_GSE66275,Risperidone
MAPK3,0.09,0.221,RIS_5mgkg_21D_STr_GSE66275,Risperidone
MAPK15,-0.04,0.691,RIS_5mgkg_21D_STr_GSE66275,Risperidone
MAPK14,-0.09,0.298,RIS_5mgkg_21D_STr_GSE66275,Risperidone
MAPK13,0.12,0.138,RIS_5mgkg_21D_STr_GSE66275,Risperidone
MAPK12,0.16,0.168,RIS_5mgkg_21D_STr_GSE66275,Risperidone
MAPK11,0.01,0.95,RIS_5mgkg_21D_STr_GSE66275,Risperidone
MAPK1,-0.25,0.071,RIS_5mgkg_21D_STr_GSE66275,Risperidone
MAPK7,0.08,0.339,RIS_5mgkg_21D_STr_GSE66275,Risperidone
MAPK9,-0.07,0.25,RIS_5mgkg_21d_CTX_GSE66275,Risperidone
MAPK8,-0.17,0.0303,RIS_5mgkg_21d_CTX_GSE66275,Risperidone
MAPK10,-0.17,0.0303,RIS_5mgkg_21d_CTX_GSE66275,Risperidone
MAPK6,-0.01,0.888,RIS_5mgkg_21d_CTX_GSE66275,Risperidone
MAPK4,-0.11,0.104,RIS_5mgkg_21d_CTX_GSE66275,Risperidone
MAPK3,0.22,0.00316,RIS_5mgkg_21d_CTX_GSE66275,Risperidone
MAPK15,-0.01,0.932,RIS_5mgkg_21d_CTX_GSE66275,Risperidone
MAPK14,-0.05,0.483,RIS_5mgkg_21d_CTX_GSE66275,Risperidone
MAPK13,-0.05,0.609,RIS_5mgkg_21d_CTX_GSE66275,Risperidone
MAPK12,0.28,0.0459,RIS_5mgkg_21d_CTX_GSE66275,Risperidone
MAPK11,-0.39,0.0154,RIS_5mgkg_21d_CTX_GSE66275,Risperidone
MAPK1,0.05,0.539,RIS_5mgkg_21d_CTX_GSE66275,Risperidone
MAPK7,0.05,0.428,RIS_5mgkg_21d_CTX_GSE66275,Risperidone
MAPK4,0.47,0.00676,Valproate-200mg/kg-15d-BS(Lipina 2009),Valproate
MAPK6,0.47,0.00676,Valproate-200mg/kg-15d-BS(Lipina 2009),Valproate
MAPK3,0.29,0.08051,Valproate-200mg/kg-15d-BS(Lipina 2009),Valproate
MAPK7,-0.23,0.1086,Valproate-200mg/kg-15d-BS(Lipina 2009),Valproate
MAPK13,0.27,0.12133,Valproate-200mg/kg-15d-BS(Lipina 2009),Valproate
MAPK14,0.24,0.13183,Valproate-200mg/kg-15d-BS(Lipina 2009),Valproate
MAPK12,-0.19,0.13943,Valproate-200mg/kg-15d-BS(Lipina 2009),Valproate
MAPK9,-0.27,0.15714,Valproate-200mg/kg-15d-BS(Lipina 2009),Valproate
MAPK10,-0.17,0.17442,Valproate-200mg/kg-15d-BS(Lipina 2009),Valproate
MAPK1,0.21,0.18673,Valproate-200mg/kg-15d-BS(Lipina 2009),Valproate
MAPK11,0.13,0.36328,Valproate-200mg/kg-15d-BS(Lipina 2009),Valproate
MAPK15,0.14,0.44015,Valproate-200mg/kg-15d-BS(Lipina 2009),Valproate
MAPK8,0.07,0.58714,Valproate-200mg/kg-15d-BS(Lipina 2009),Valproate
MAPK13,0.74,0.00126,Valproate-200mg/kg-15d-FC(Lipina 2009),Valproate
MAPK12,0.51,0.00465,Valproate-200mg/kg-15d-FC(Lipina 2009),Valproate
MAPK11,-0.29,0.07198,Valproate-200mg/kg-15d-FC(Lipina 2009),Valproate
MAPK9,-0.26,0.072,Valproate-200mg/kg-15d-FC(Lipina 2009),Valproate
MAPK15,-0.28,0.09277,Valproate-200mg/kg-15d-FC(Lipina 2009),Valproate
MAPK4,-0.34,0.0993,Valproate-200mg/kg-15d-FC(Lipina 2009),Valproate
MAPK6,-0.34,0.0993,Valproate-200mg/kg-15d-FC(Lipina 2009),Valproate
MAPK8,-0.23,0.12298,Valproate-200mg/kg-15d-FC(Lipina 2009),Valproate
MAPK1,-0.38,0.16095,Valproate-200mg/kg-15d-FC(Lipina 2009),Valproate
MAPK7,0.25,0.16933,Valproate-200mg/kg-15d-FC(Lipina 2009),Valproate
MAPK10,-0.22,0.18833,Valproate-200mg/kg-15d-FC(Lipina 2009),Valproate
MAPK3,-0.1,0.63564,Valproate-200mg/kg-15d-FC(Lipina 2009),Valproate
MAPK14,-0.03,0.83633,Valproate-200mg/kg-15d-FC(Lipina 2009),Valproate
MAPK1,-0.51,5.6e-4,Valproate-200mg/kg-15d-HPC(Lipina 2009),Valproate
MAPK13,0.45,0.00517,Valproate-200mg/kg-15d-HPC(Lipina 2009),Valproate
MAPK4,0.36,0.01128,Valproate-200mg/kg-15d-HPC(Lipina 2009),Valproate
MAPK6,0.36,0.01128,Valproate-200mg/kg-15d-HPC(Lipina 2009),Valproate
MAPK9,-0.2,0.02786,Valproate-200mg/kg-15d-HPC(Lipina 2009),Valproate
MAPK11,0.19,0.02909,Valproate-200mg/kg-15d-HPC(Lipina 2009),Valproate
MAPK3,0.22,0.06894,Valproate-200mg/kg-15d-HPC(Lipina 2009),Valproate
MAPK12,0.19,0.07337,Valproate-200mg/kg-15d-HPC(Lipina 2009),Valproate
MAPK15,-0.08,0.31688,Valproate-200mg/kg-15d-HPC(Lipina 2009),Valproate
MAPK10,0.11,0.33213,Valproate-200mg/kg-15d-HPC(Lipina 2009),Valproate
MAPK7,-0.07,0.43289,Valproate-200mg/kg-15d-HPC(Lipina 2009),Valproate
MAPK8,0.09,0.47657,Valproate-200mg/kg-15d-HPC(Lipina 2009),Valproate
MAPK14,-0.03,0.79838,Valproate-200mg/kg-15d-HPC(Lipina 2009),Valproate
MAPK11,1.21,0.0016,Valproate-200mg/kg-15d-STR(Lipina 2009),Valproate
MAPK12,0.65,0.00501,Valproate-200mg/kg-15d-STR(Lipina 2009),Valproate
MAPK13,0.66,0.00728,Valproate-200mg/kg-15d-STR(Lipina 2009),Valproate
MAPK7,0.37,0.0475,Valproate-200mg/kg-15d-STR(Lipina 2009),Valproate
MAPK4,-0.33,0.09874,Valproate-200mg/kg-15d-STR(Lipina 2009),Valproate
MAPK6,-0.33,0.09874,Valproate-200mg/kg-15d-STR(Lipina 2009),Valproate
MAPK10,0.3,0.10592,Valproate-200mg/kg-15d-STR(Lipina 2009),Valproate
MAPK9,0.32,0.13853,Valproate-200mg/kg-15d-STR(Lipina 2009),Valproate
MAPK8,0.2,0.27344,Valproate-200mg/kg-15d-STR(Lipina 2009),Valproate
MAPK14,0.11,0.51412,Valproate-200mg/kg-15d-STR(Lipina 2009),Valproate
MAPK15,-0.12,0.51656,Valproate-200mg/kg-15d-STR(Lipina 2009),Valproate
MAPK3,0.05,0.74675,Valproate-200mg/kg-15d-STR(Lipina 2009),Valproate
MAPK1,-0.09,0.75858,Valproate-200mg/kg-15d-STR(Lipina 2009),Valproate
MAPK8,0.28,7.6e-4,Lithium-0.2%-21d-FC (Lanz 2015),Lithium
MAPK1,-0.26,9e-4,Lithium-0.2%-21d-FC (Lanz 2015),Lithium
MAPK4,-0.34,0.00165,Lithium-0.2%-21d-FC (Lanz 2015),Lithium
MAPK6,-0.34,0.00165,Lithium-0.2%-21d-FC (Lanz 2015),Lithium
MAPK9,-0.28,0.00295,Lithium-0.2%-21d-FC (Lanz 2015),Lithium
MAPK10,-0.14,0.02367,Lithium-0.2%-21d-FC (Lanz 2015),Lithium
MAPK14,-0.14,0.03275,Lithium-0.2%-21d-FC (Lanz 2015),Lithium
MAPK3,-0.16,0.08398,Lithium-0.2%-21d-FC (Lanz 2015),Lithium
MAPK13,0.15,0.09375,Lithium-0.2%-21d-FC (Lanz 2015),Lithium
MAPK7,0.11,0.20876,Lithium-0.2%-21d-FC (Lanz 2015),Lithium
MAPK15,0.07,0.39989,Lithium-0.2%-21d-FC (Lanz 2015),Lithium
MAPK12,-0.06,0.49526,Lithium-0.2%-21d-FC (Lanz 2015),Lithium
MAPK11,0.01,0.87517,Lithium-0.2%-21d-FC (Lanz 2015),Lithium
MAPK9,-0.21,0.01668,Lithium-0.2%-21d-STR (Lanz 2015),Lithium
MAPK8,-0.16,0.04983,Lithium-0.2%-21d-STR (Lanz 2015),Lithium
MAPK14,-0.14,0.07415,Lithium-0.2%-21d-STR (Lanz 2015),Lithium
MAPK7,-0.13,0.07928,Lithium-0.2%-21d-STR (Lanz 2015),Lithium
MAPK1,-0.19,0.12322,Lithium-0.2%-21d-STR (Lanz 2015),Lithium
MAPK13,-0.09,0.17659,Lithium-0.2%-21d-STR (Lanz 2015),Lithium
MAPK10,-0.09,0.19423,Lithium-0.2%-21d-STR (Lanz 2015),Lithium
MAPK12,-0.06,0.44582,Lithium-0.2%-21d-STR (Lanz 2015),Lithium
MAPK6,0.03,0.67925,Lithium-0.2%-21d-STR (Lanz 2015),Lithium
MAPK4,-0.05,0.6897,Lithium-0.2%-21d-STR (Lanz 2015),Lithium
MAPK3,0.02,0.7697,Lithium-0.2%-21d-STR (Lanz 2015),Lithium
MAPK11,-0.02,0.80301,Lithium-0.2%-21d-STR (Lanz 2015),Lithium
MAPK15,-0.03,0.86501,Lithium-0.2%-21d-STR (Lanz 2015),Lithium
MAPK8,-0.18,0.01922,Lithium-0.2%-21d-HPC (Lanz 2015),Lithium
MAPK13,-0.15,0.05853,Lithium-0.2%-21d-HPC (Lanz 2015),Lithium
MAPK4,-0.15,0.12402,Lithium-0.2%-21d-HPC (Lanz 2015),Lithium
MAPK6,-0.15,0.12402,Lithium-0.2%-21d-HPC (Lanz 2015),Lithium
MAPK7,-0.1,0.19441,Lithium-0.2%-21d-HPC (Lanz 2015),Lithium
MAPK14,0.09,0.27404,Lithium-0.2%-21d-HPC (Lanz 2015),Lithium
MAPK3,0.07,0.28985,Lithium-0.2%-21d-HPC (Lanz 2015),Lithium
MAPK11,-0.09,0.36671,Lithium-0.2%-21d-HPC (Lanz 2015),Lithium
MAPK1,0.06,0.36717,Lithium-0.2%-21d-HPC (Lanz 2015),Lithium
MAPK9,-0.09,0.38394,Lithium-0.2%-21d-HPC (Lanz 2015),Lithium
MAPK10,0.07,0.46857,Lithium-0.2%-21d-HPC (Lanz 2015),Lithium
MAPK12,-0.05,0.81513,Lithium-0.2%-21d-HPC (Lanz 2015),Lithium
MAPK15,0,0.96876,Lithium-0.2%-21d-HPC (Lanz 2015),Lithium
